Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2
3524970,33.2062034607,109019970,506.2915649414,218774970,211.876953125
3539970,34.9458236694,109034970,227.6078338623,218789970,545.4584350586
3569970,41.0304603577,109049970,339.9222106934,218819970,643.6329345703
3584970,65.7442703247,109079970,403.0430908203,218849970,561.7465209961
3599970,46.4461898804,109094970,84.6378326416,218879970,667.7214355469
3629970,57.4906997681,109109970,530.5073242188,218909970,604.0959472656
3644970,-4.2516040802,109124970,263.118560791,218924970,66.2993392944
3659970,67.9010620117,109139970,274.1515808105,218939970,688.7725219727
3689970,63.144985199,109154970,71.666343689,218969970,715.0407104492
3719970,46.5471839905,109169970,251.6214141846,218999970,615.6462402344
3734970,19.808719635,109199970,349.4732055664,219029970,416.8336486816
3749970,49.1623191833,109214970,25.2531261444,219059970,496.8428039551
3779970,55.0222167969,109229970,542.3275146484,219089970,575.6918334961
3809970,40.6852760315,109259970,314.4150085449,219119970,649.0616455078
3839970,57.2072944641,109289970,383.5804748535,219134970,74.7345352173
3869970,19.2499504089,109319970,234.1600952148,219149970,553.2071533203
3899970,52.2657356262,109349970,324.1142883301,219164970,514.1372070313
3929970,53.1175498962,109364970,-2.9460902214,219179970,351.2433776855
3959970,40.7864837646,109379970,383.6770629883,219209970,555.7716674805
3989970,47.8576660156,109409970,587.4024047852,219239970,494.227142334
4019970,55.8242988586,109439970,335.6163330078,219269970,688.4387817383
4049970,48.0408210754,109469970,251.4095916748,219299970,623.1049194336
4079970,66.5992965698,109499970,600.2751464844,219329970,936.628112793
4109970,36.4286117554,109514970,191.0049438477,219344970,192.9081268311
4139970,41.4588279724,109529970,531.0448608398,219359970,604.830871582
4169970,35.36693573,109559970,273.3223266602,219389970,346.9590454102
4199970,16.1970844269,109589970,445.0397033691,219419970,587.4285888672
4229970,38.9769248962,109604970,6.3910675049,219449970,582.0938720703
4259970,43.2263374329,109619970,454.1842956543,219479970,483.0888977051
4289970,37.9171791077,109634970,174.8189239502,219509970,648.2623901367
4319970,49.4204597473,109649970,280.1820678711,219539970,714.714050293
4349970,21.1865634918,109664970,78.1251068115,219569970,570.2890625
4379970,49.1223182678,109679970,316.361541748,219599970,349.115814209
4409970,42.990940094,109694970,214.5732116699,219629970,534.0615844727
4439970,24.0527420044,109709970,448.9016418457,219644970,63.7017936707
4454970,-0.1695361733,109724970,55.1288414001,219659970,602.9456787109
4469970,27.4764633179,109739970,467.1148071289,219674970,670.8931274414
4499970,37.0210189819,109769970,396.7461853027,219689970,756.0866088867
4529970,35.1687545776,109784970,347.9702148438,219704970,130.7618865967
4559970,55.5823402405,109799970,422.4306030273,219719970,651.9028320313
