Step-eval,Value-eval
9089970,91.8135757446
9104970,26.5763149261
9119970,50.9722900391
9134970,33.524105072
9149970,97.763885498
9164970,7.1353721619
9179970,120.1689071655
9194970,7.3433208466
9209970,96.1829223633
9239970,84.9022369385
9254970,97.1711730957
9269970,87.4879455566
9284970,-0.6734333038
9299970,79.6337661743
9314970,19.1812419891
9329970,58.8605155945
9344970,34.6128005981
9359970,97.8594818115
9374970,10.1576366425
9389970,90.9997940063
9404970,25.3879241943
9419970,96.3934631348
9434970,2.3666841984
9449970,82.9965209961
9464970,30.7811813354
9479970,83.8847427368
9509970,100.1423110962
9524970,-0.5233837962
9539970,86.3362808228
9554970,37.0774917603
9569970,99.662979126
9584970,-14.0172643661
9599970,113.1574707031
9629970,87.2969284058
9644970,9.1147594452
9659970,113.9444274902
9689970,103.0598220825
9704970,52.2284049988
9719970,92.1265869141
9734970,41.0782699585
9749970,88.1645889282
9764970,14.1523723602
9779970,94.2770462036
9794970,135.0744476318
9809970,73.272644043
9839970,107.7766571045
9854970,1.3022646904
9869970,60.7629623413
9899970,73.3032302856
9914970,12.9972333908
9929970,59.303565979
9959970,83.5740432739
9974970,69.6165313721
9989970,75.3484954834
10004970,41.9769744873
10019970,139.1175079346
10049970,103.3732147217
10079970,100.336807251
10109970,87.5760726929
10124970,29.8446331024
10139970,96.2788162231
10169970,97.57371521
10199970,84.5018615723
10214970,-5.8026895523
10229970,154.8352966309
10244970,-36.1187324524
10259970,97.108215332
10274970,39.492477417
10289970,94.8372650146
10304970,0.0443785191
10319970,57.193939209
10349970,82.1679916382
10364970,65.2415237427
10379970,62.1706008911
10394970,29.0382213593
10409970,100.8579025269
10424970,49.5375022888
10439970,98.7262191772
10454970,23.4158496857
10469970,106.8050842285
10484970,6.2242474556
10499970,86.198348999
10514970,36.1249885559
10529970,90.199798584
10544970,161.1596832275
10559970,90.4526519775
10574970,0.9900941849
10589970,112.5487670898
10604970,1.5381810665
10619970,118.4859924316
10634970,113.2998275757
10649970,78.0291976929
10664970,5.5449085236
10679970,99.2871322632
10694970,2.201464653
10709970,89.2253112793
10739970,107.3539047241
10754970,36.9658317566
10769970,93.9744949341
10799970,118.9463043213
10814970,1.9610671997
10829970,82.6401367188
10859970,127.8013916016
10874970,-7.350792408
10889970,78.0869140625
10904970,20.732667923
10919970,136.1766052246
10934970,-3.4275302887
10949970,95.7633972168
10979970,65.5133056641
10994970,-6.5103392601
11009970,92.6822814941
11024970,16.0133552551
11039970,75.6122894287
11069970,89.6341323853
11084970,63.3048858643
11099970,40.5663261414
11114970,49.0170707703
11129970,74.2635574341
11144970,20.0020847321
11159970,106.0311584473
11174970,29.7055015564
11189970,95.2604675293
11219970,76.5429840088
11249970,89.5382385254
11279970,56.3953094482
11294970,-39.0718002319
11309970,89.9944458008
11324970,16.9680747986
11339970,76.0521087646
11354970,88.259765625
11369970,127.8546295166
11384970,57.8194313049
11399970,71.0940170288
11414970,-4.0337018967
11429970,58.541305542
11444970,38.9550056458
11459970,77.5728912354
11474970,3.719170332
11489970,86.5598297119
11519970,91.466468811
11549970,72.15965271
11564970,-22.4563446045
11579970,71.9611740112
11609970,75.7297058105
11639970,79.3715133667
11654970,-0.4090528488
11669970,102.6911621094
11699970,99.7628326416
11729970,103.0512008667
11744970,41.3935317993
11759970,89.3602600098
11774970,46.5065536499
11789970,63.6903152466
11804970,-12.0596103668
11819970,94.8466262817
11849970,85.9506607056
11879970,92.7583236694
11909970,66.8911514282
11939970,70.0512237549
11954970,-2.3968448639
11969970,54.9904289246
11999970,103.5241699219
12014970,43.7425117493
12029970,76.3167495728
12059970,75.4758605957
12074970,20.727312088
12089970,102.7664642334
12119970,81.5157852173
12134970,35.1970558167
12149970,60.2490692139
12179970,113.3860244751
12209970,78.5146026611
12224970,43.8736457825
12239970,100.4066314697
12254970,71.7206497192
12269970,113.337562561
12299970,78.8946914673
12329970,105.4599761963
12344970,2.0512681007
12359970,88.528968811
12374970,32.1411476135
12389970,76.7848968506
12404970,-5.9687690735
12419970,88.9160232544
12449970,70.5784835815
12479970,78.5369949341
12494970,66.0016479492
12509970,77.0316772461
12539970,112.7733001709
12569970,70.6730804443
12584970,55.8177642822
12599970,95.5927047729
12614970,52.5489654541
12629970,105.8003845215
12644970,99.5065841675
12659970,80.7730865479
12689970,106.7420120239
12704970,2.1374146938
12719970,101.1754455566
12734970,96.3423614502
12749970,92.7238616943
12764970,63.2605857849
12779970,80.45652771
12809970,77.3825531006
12824970,-7.4785661697
12839970,87.254486084
12869970,95.7839813232
12899970,105.6301422119
12929970,86.7542800903
12959970,91.0243682861
12974970,16.4983692169
12989970,62.3292770386
13019970,78.7766265869
13034970,1.7852430344
13049970,53.1748466492
13079970,82.4146194458
13094970,14.3160409927
13109970,94.6532058716
13139970,113.6194610596
13154970,-34.2364501953
13169970,91.8125305176
13184970,68.339630127
13199970,75.8925247192
13214970,43.3551597595
13229970,83.3151245117
13259970,69.5837402344
13289970,86.0976409912
13319970,86.8928070068
13334970,38.10779953
13349970,81.289680481
13379970,71.804107666
13409970,74.8433685303
13424970,7.609544754
13439970,107.8958282471
13469970,107.5054244995
13499970,106.6026687622
13529970,56.212600708
13544970,-7.7687683105
13559970,111.2519454956
13589970,103.651260376
13604970,37.4937820435
13619970,124.4360275269
13649970,87.6630325317
13679970,106.576499939
13694970,64.8957443237
13709970,97.8832015991
13739970,99.9861984253
13769970,80.9267578125
13799970,78.1936187744
13829970,99.8819274902
13859970,74.35546875
13874970,4.7434005737
13889970,92.0214538574
13919970,87.025062561
13934970,-84.1881942749
13949970,111.5927200317
13964970,30.0408611298
13979970,73.0468215942
14009970,90.7643737793
14024970,-7.6830673218
14039970,52.0892982483
14054970,68.7851257324
14069970,78.7757949829
14084970,30.480009079
14099970,74.9685516357
14114970,101.6991882324
14129970,105.8950119019
14159970,45.4546585083
14189970,90.2330169678
14204970,8.7313213348
14219970,131.9354248047
14234970,3.7840900421
14249970,99.152130127
14279970,94.9292373657
14294970,21.2850437164
14309970,101.5734100342
14339970,78.638999939
14369970,86.5944290161
14384970,-15.315112114
14399970,85.7362136841
14429970,86.4770507813
14444970,-14.7463188171
14459970,85.5010757446
14489970,88.220741272
14519970,66.074256897
14534970,78.680015564
14549970,99.9869003296
14579970,106.7537918091
14609970,119.3445510864
14624970,74.7272491455
14639970,96.7595748901
14669970,95.4537887573
14699970,94.113319397
14714970,32.7875328064
14729970,97.9559783936
14759970,119.1041412354
14774970,5.0817770958
14789970,94.6918411255
14819970,57.2732925415
14849970,77.2830810547
14864970,31.2244949341
14879970,60.7344932556
14909970,92.6975860596
14939970,58.546497345
14954970,120.269744873
14969970,89.8274536133
14999970,101.7788314819
15014970,64.973236084
15029970,124.4912109375
15044970,28.8754234314
15059970,76.1524429321
15089970,91.4482803345
15119970,107.8692398071
15134970,-2.199280262
15149970,95.3416519165
15179970,85.8700942993
15194970,12.2490673065
15209970,85.3332977295
15239970,126.6942825317
15269970,106.060874939
15284970,81.5375137329
15299970,103.9032058716
15314970,20.5450057983
15329970,120.9199752808
15344970,152.8248596191
15359970,70.829498291
15389970,61.7820663452
15419970,92.056640625
15449970,98.0216522217
15479970,123.1290054321
15509970,55.6321296692
15524970,20.6191635132
15539970,136.3079528809
15554970,-18.8815174103
15569970,75.9148483276
15599970,99.8780975342
15614970,21.7736415863
15629970,59.0559883118
15659970,89.2301483154
15689970,81.3093490601
15719970,95.5421066284
15749970,78.9205551147
15764970,6.5922279358
15779970,71.0595932007
15809970,48.4356842041
15839970,113.029624939
15854970,80.5296020508
15869970,79.9733428955
15899970,105.859703064
15914970,87.7557830811
15929970,84.8079910278
15944970,131.9842681885
15959970,85.1383666992
15989970,97.3891830444
16019970,80.4939804077
16049970,114.3389434814
16079970,94.5560684204
16109970,60.4539604187
16139970,79.2600326538
16169970,87.4923324585
16184970,25.6986865997
16199970,112.0489807129
16214970,-22.7803611755
16229970,101.7058029175
16244970,58.0072937012
16259970,111.3806838989
16274970,27.4850883484
16289970,121.7565841675
16319970,82.0713424683
16349970,98.7824783325
16379970,120.9490203857
16394970,-13.7610445023
16409970,61.3185081482
16439970,88.7805023193
16469970,94.7839889526
16484970,8.5370531082
16499970,69.1535263062
16514970,71.1383285522
16529970,78.4435501099
16544970,32.4221382141
16559970,95.0748138428
16589970,133.0840148926
16604970,42.6385879517
16619970,102.0435714722
16634970,9.4545278549
16649970,95.5748519897
16664970,7.8561754227
16679970,67.8414459229
16709970,106.6769332886
16739970,76.5678405762
16769970,98.7640914917
16799970,60.7276115417
16829970,61.1018753052
16844970,69.3885345459
16859970,69.2411499023
16889970,96.8814926147
16904970,4.4728198051
16919970,107.8693695068
16949970,102.5429840088
16964970,31.9988708496
16979970,98.9222335815
17009970,111.6181869507
17024970,58.9050788879
17039970,105.1930923462
17054970,5.9612078667
17069970,98.6014556885
17099970,109.6954269409
17129970,66.6772842407
17144970,54.3242950439
17159970,93.3922271729
17189970,91.8168029785
17204970,62.7084999084
17219970,76.4075317383
17249970,53.9590797424
17279970,68.8216629028
17309970,70.2355880737
17339970,62.0561523438
17369970,87.1458358765
17399970,65.1950378418
17414970,37.7043457031
17429970,105.5507659912
17444970,72.8429031372
17459970,75.6849441528
17474970,83.5196228027
17489970,94.5822525024
17519970,82.647064209
17534970,51.0801506042
17549970,85.7002487183
17579970,87.7429275513
17594970,198.5257568359
17609970,53.614528656
17639970,72.15625
17669970,58.0216522217
17699970,62.3274688721
17729970,79.6111373901
17759970,108.8387680054
17789970,117.4287033081
17819970,96.1761245728
17834970,3.6148023605
17849970,67.0995178223
17879970,84.7227020264
17909970,90.141166687
17924970,37.6054649353
17939970,77.9377365112
17954970,3.9201505184
17969970,68.3984146118
17999970,94.7579803467
18029970,87.7534484863
18059970,46.6464385986
18089970,92.7005386353
18119970,81.9055404663
18149970,86.0999221802
18164970,-3.0657000542
18179970,76.6862487793
18194970,12.3103218079
18209970,92.4099197388
18224970,2.2555470467
18239970,86.5025405884
18269970,88.7678222656
18284970,17.2477645874
18299970,86.2790679932
18329970,89.9814682007
18359970,130.5967102051
18389970,94.9884185791
18419970,102.3984222412
18449970,78.6319656372
18479970,93.7737884521
18509970,70.1862411499
18524970,75.2808074951
18539970,79.1627960205
18569970,82.179145813
18599970,74.6581802368
18629970,78.4055480957
18659970,81.8570861816
18689970,83.5977401733
18719970,95.0581741333
18734970,-10.0590343475
18749970,105.0254211426
18779970,96.6591491699
18809970,116.9480361938
18839970,103.8820724487
18869970,142.455581665
18899970,100.7103424072
18929970,110.6231002808
18959970,113.141532898
18989970,112.3723983765
19019970,93.9961395264
19034970,47.5839309692
19049970,79.8350143433
19064970,12.5588464737
19079970,112.9753952026
19094970,67.0323410034
19109970,85.5589675903
19139970,125.5707778931
19169970,71.4662246704
19199970,138.231842041
19229970,125.2906417847
19244970,6.203602314
19259970,119.1246185303
19289970,80.4013290405
19319970,108.6553878784
19334970,58.3799514771
19349970,117.9654922485
19379970,138.122543335
19394970,14.857963562
19409970,97.3375473022
19439970,95.4103240967
19454970,120.6074142456
19469970,136.9634857178
19499970,116.0959701538
19514970,7.8996319771
19529970,103.4570083618
19544970,31.9351291656
19559970,125.6912918091
19574970,-4.6003417969
19589970,113.8943786621
19619970,110.0513458252
19649970,73.9023666382
19679970,93.7208557129
19709970,104.5092773438
19724970,60.1318893433
19739970,99.2462081909
19769970,90.315864563
19799970,184.8563537598
19814970,38.207649231
19829970,146.2676696777
19844970,41.9767341614
19859970,80.0390777588
19889970,95.0121841431
19904970,8.9823951721
19919970,96.980682373
19949970,91.2404937744
19979970,122.7636184692
19994970,14.8738765717
20009970,67.6701965332
20039970,86.9733200073
20069970,73.9355926514
20099970,122.7579269409
20114970,24.8083152771
20129970,94.9909744263
20144970,-0.9542665482
20159970,134.3212280273
20189970,102.0136642456
20219970,84.578956604
20249970,100.3349380493
20264970,-7.8753204346
20279970,107.6067886353
20309970,163.2205963135
20324970,62.1036148071
20339970,102.3390426636
20369970,92.8507614136
20399970,98.2083358765
20429970,113.2039260864
20444970,14.9276094437
20459970,126.8223342896
20474970,33.3283958435
20489970,161.8337554932
20504970,62.4958114624
20519970,80.5593566895
20549970,114.4108886719
20579970,156.9315643311
20594970,67.2762298584
20609970,173.5439758301
20639970,101.240737915
20669970,120.97315979
20699970,119.6333236694
20729970,162.2299346924
20759970,119.6708602905
20774970,113.8717498779
20789970,155.4153289795
20804970,35.5015640259
20819970,128.8371276855
20834970,-0.2029762268
20849970,86.7558517456
20864970,9.0302677155
20879970,105.0452194214
20909970,86.4886169434
20939970,93.7180633545
20954970,5.2252025604
20969970,91.1643371582
20999970,83.6106872559
21029970,102.5601348877
21059970,87.0967788696
21074970,6.9906668663
21089970,91.7722854614
21119970,99.6552200317
21149970,88.8768081665
21179970,124.9511871338
21194970,45.8625907898
21209970,99.9436569214
21239970,93.0574798584
21254970,6.987950325
21269970,100.5590667725
21299970,104.8165969849
21329970,69.2853012085
21359970,52.3203849792
21389970,79.1582565308
21404970,-13.8902873993
21419970,130.8279571533
21449970,56.9041633606
21479970,87.2809829712
21509970,92.3155975342
21524970,-18.0111141205
21539970,84.6787338257
21569970,78.458732605
21584970,3.5019578934
21599970,76.8126144409
21614970,9.6341991425
21629970,83.8690109253
21659970,94.3463439941
21674970,3.6557991505
21689970,143.4246368408
21719970,112.962020874
21749970,108.8659744263
21764970,0.4017090499
21779970,108.4206085205
21809970,109.6779937744
21824970,3.4378762245
21839970,78.1050262451
21854970,-26.0927715302
21869970,104.3022766113
21899970,75.6637039185
21929970,92.8696136475
21959970,119.951171875
21989970,98.0103225708
22004970,3.2089540958
22019970,112.9011993408
22034970,5.7120308876
22049970,77.0807113647
