Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
1139970,108.9345169067,46574970,149.9022216797,68744970,206.1110229492,136244970,325.5187072754
1154970,69.1651535034,46589970,1343.5509033203,68759970,997.4901733398,136259970,834.5657348633
1169970,130.270980835,46604970,186.3316802979,68774970,252.9105682373,136274970,126.4193878174
1184970,77.0459518433,46619970,1384.7833251953,68789970,875.8162231445,136289970,983.8825073242
1199970,144.6141204834,46634970,115.152633667,68804970,219.2919311523,136304970,221.2219696045
1214970,70.4490585327,46649970,1351.0217285156,68819970,987.3580932617,136319970,941.6953125
1229970,210.7612457275,46664970,175.9432373047,68834970,224.2724609375,136334970,201.3776855469
1244970,96.8792114258,46679970,1410.1243896484,68849970,861.7482910156,136349970,828.3410644531
1259970,197.6989746094,46694970,164.4270782471,68864970,172.7616882324,136364970,106.6897201538
1289970,195.1472473145,46709970,1154.0180664063,68879970,1037.5704345703,136379970,931.8192138672
1319970,208.7543182373,46724970,96.910446167,68894970,141.9577636719,136394970,222.6413269043
1334970,104.3243637085,46739970,1227.1622314453,68909970,969.6754150391,136409970,812.5140380859
1349970,208.1356048584,46754970,177.0376739502,68924970,196.5795593262,136424970,203.7914581299
1364970,89.5799865723,46769970,1230.9836425781,68939970,962.231628418,136439970,790.911315918
1379970,187.7743835449,46784970,87.9942703247,68954970,178.0890350342,136454970,178.5863494873
1394970,37.5189933777,46799970,1102.6973876953,68969970,866.8941040039,136469970,918.1810913086
1409970,188.6938018799,46814970,252.2344512939,68984970,122.1082992554,136484970,260.6948547363
1424970,127.2937469482,46829970,1433.6279296875,68999970,970.6287841797,136499970,971.625793457
1439970,208.8165893555,46844970,201.3891143799,69014970,195.0362701416,136514970,217.3558502197
1454970,85.2486801147,46859970,1516.1801757813,69029970,944.8096313477,136529970,1002.067199707
1469970,222.932723999,46874970,206.1861572266,69044970,213.7620544434,136544970,263.7638244629
1484970,72.7929000854,46889970,1374.4542236328,69059970,651.8512573242,136559970,908.6558227539
1499970,234.4566802979,46904970,34.7066001892,69074970,135.4641571045,136574970,112.9580917358
1514970,111.0263900757,46919970,1211.2717285156,69089970,665.5053100586,136589970,870.8179931641
1529970,240.5888824463,46934970,85.0980682373,69104970,172.8150177002,136604970,253.6765441895
1544970,82.70728302,46949970,1297.5500488281,69119970,1122.9519042969,136619970,943.8610839844
1559970,243.2292785645,46964970,224.2199249268,69134970,137.5663909912,136634970,274.7774353027
1574970,94.9702148438,46979970,1431.4145507813,69149970,925.729675293,136649970,852.4890136719
1589970,249.0169677734,46994970,115.2784042358,69164970,388.0711669922,136664970,166.8877410889
1604970,143.3286132813,47009970,1370.3953857422,69179970,819.4117431641,136679970,980.4110717773
