Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
1439970,68.2624816895,42689970,1553.6536865234,68279970,1076.07421875,163739970,974.0845336914
1469970,79.0561294556,42704970,-18.6038017273,68294970,179.1270141602,163754970,224.3242797852
1484970,114.5557937622,42719970,1411.3807373047,68309970,924.2158813477,163769970,956.0182495117
1499970,102.5076522827,42734970,3.1726160049,68324970,114.9436264038,163784970,298.9158325195
1529970,78.3501434326,42749970,1587.9973144531,68339970,694.9144287109,163799970,820.9432373047
1559970,104.9327316284,42779970,1437.3469238281,68354970,290.2356262207,163814970,345.9852905273
1589970,107.8177261353,42794970,42.7585296631,68369970,930.1539306641,163829970,717.4646606445
1619970,126.6385269165,42809970,1440.2957763672,68384970,233.3506317139,163844970,200.4154052734
1649970,141.8819885254,42839970,1322.5522460938,68399970,992.1725463867,163859970,972.6455688477
1679970,166.2152557373,42854970,99.4082183838,68414970,166.6644897461,163874970,244.377456665
1694970,34.024974823,42869970,1396.6186523438,68429970,1040.3087158203,163889970,932.6469726563
1709970,207.1126403809,42884970,270.1427307129,68444970,174.6776428223,163904970,236.4004669189
1724970,47.309047699,42899970,1564.7692871094,68459970,1074.9438476563,163919970,729.0688476563
1739970,224.9547119141,42929970,1561.6719970703,68474970,237.8270111084,163934970,222.4162750244
1754970,117.475692749,42944970,76.5078201294,68489970,919.3505249023,163949970,784.1873779297
1769970,223.1279144287,42959970,1513.5825195313,68504970,179.5841522217,163964970,95.6088104248
1784970,60.3004379272,42974970,-26.7751483917,68519970,893.4608764648,163979970,787.3240356445
1799970,223.9378051758,42989970,1674.1042480469,68534970,124.5283508301,163994970,232.9751434326
1829970,229.2859954834,43004970,74.1506347656,68549970,909.2582397461,164009970,881.4243774414
1844970,47.8670501709,43019970,1336.3819580078,68564970,249.3347167969,164024970,264.026763916
1859970,251.0057373047,43034970,91.0877304077,68579970,1077.9914550781,164039970,905.1129150391
1874970,53.7867355347,43049970,1676.6101074219,68594970,144.0943450928,164054970,198.1741027832
1889970,232.4742889404,43064970,-29.9483070374,68609970,967.0909423828,164069970,972.6900634766
1904970,75.0061721802,43079970,1501.5004882813,68624970,201.7642822266,164084970,202.6060028076
1919970,219.1636505127,43109970,1579.7711181641,68639970,983.0194091797,164099970,752.1549072266
1949970,239.0181427002,43124970,148.088470459,68654970,212.1164398193,164114970,192.0584869385
1979970,238.1245269775,43139970,1336.9296875,68669970,1209.3009033203,164129970,883.3526000977
1994970,56.1635131836,43154970,319.2328186035,68684970,330.0333557129,164144970,212.7622070313
2009970,202.0276641846,43169970,1489.3244628906,68699970,1094.4852294922,164159970,849.1577758789
2024970,89.1326293945,43184970,-20.2704982758,68714970,167.8995666504,164174970,326.5303344727
2039970,222.3728942871,43199970,1529.1667480469,68729970,873.0770874023,164189970,646.0333862305
2054970,116.1508255005,43214970,-24.2201251984,68744970,206.2456054688,164204970,244.0169677734
2069970,233.4281616211,43229970,1556.3566894531,68759970,871.9515380859,164219970,763.073059082
2084970,152.8793945313,43244970,114.1988296509,68774970,158.2300720215,164234970,282.264831543
2099970,240.3601531982,43259970,1555.0230712891,68789970,1082.2694091797,164249970,774.8205566406
2114970,100.1192321777,43289970,1565.0463867188,68804970,409.1993713379,164264970,434.2123718262
2129970,226.1960296631,43304970,219.8374176025,68819970,1114.1563720703,164279970,833.559387207
2144970,101.8684997559,43319970,1398.0413818359,68834970,216.0253601074,164294970,498.2731018066
2159970,247.6356506348,43334970,122.6955490112,68849970,896.0029296875,164309970,777.5932617188
2189970,255.7431488037,43349970,1349.3937988281,68864970,509.0497741699,164324970,253.4247283936
2204970,116.7418899536,43379970,1463.3651123047,68879970,960.9181518555,164339970,851.0278930664
2219970,236.900894165,43394970,199.9739074707,68894970,223.8987579346,164354970,288.8132324219
2234970,63.3027114868,43409970,1384.11328125,68909970,980.0831298828,164369970,738.26171875
2249970,275.1011962891,43424970,235.7504730225,68924970,201.764175415,164384970,310.3684387207
2279970,311.4953613281,43439970,1387.4405517578,68939970,851.0980834961,164399970,777.1701049805
2294970,131.4217224121,43454970,259.2343139648,68954970,141.9086151123,164414970,546.5269775391
2309970,306.8078308105,43469970,1313.4291992188,68969970,986.8739624023,164429970,860.6632080078
2339970,321.3533630371,43499970,1481.5262451172,68984970,221.3776245117,164444970,328.1199645996
2354970,125.2589874268,43514970,196.3723907471,68999970,860.8084106445,164459970,890.4400024414
2369970,317.8704223633,43529970,1478.4205322266,69014970,143.5429534912,164474970,151.8238830566
2399970,333.8734436035,43559970,1535.3167724609,69029970,1030.7880859375,164489970,950.73046875
2429970,357.407409668,43589970,1138.2791748047,69044970,237.8247070313,164504970,206.1813201904
2444970,177.4258880615,43604970,-23.0177974701,69059970,940.2808837891,164519970,821.3788452148
2459970,353.1448059082,43619970,1437.1079101563,69074970,319.0588989258,164534970,203.9794464111
2474970,-48.7267074585,43634970,168.5883789063,69089970,843.5021362305,164549970,870.8735961914
